,DataFile,metric,method,wX,wY,ID,|W|,logWX,logWY,logMeanTime,logMeanTimeReinit,logMinTime,logMaxTime,minTime,maxTime,mean_reinit,mean_sequential,sd,Method,sparsity,batch_size,num_batches,val_2,logW,ID_full,vlookup_cated,base,acceleration
38,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.5/1000_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,7.06373318465303,7.069911228203697,7.057465985720634,7.069911228203697,11414739.0,11746574.25,11746574.25,11580656.625,165917.625,kendall_GPU,0.5,1000,10.0,11414739.0,5.0,10000_10_0.5_1000,10000_10_0.5_500,11156422.125,0.96336697358903
39,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.5/500_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,7.047524938284033,7.0483301564844725,7.046718224368265,7.0483301564844725,11135718.0,11177126.25,11177126.25,11156422.125,20704.125,kendall_GPU,0.5,500,20.0,11135718.0,5.0,10000_10_0.5_500,10000_10_0.5_500,11156422.125,1.0
40,../results/GeneratedSparseBatchSizeFixed/1000_cells_1000_features/0.9/100_GPU_kendall.csv,kendall,GPU,1000,1000,1000_1000,1000000,3.0,3.0,5.433272069648613,5.444940969949585,5.42128096479917,5.444940969949585,263803.75,278574.25,278574.25,271189.0,7385.25,kendall_GPU,0.9,100,10.0,263803.75,6.0,1000_1000_0.9_100,1000_1000_0.9_500,152553.0,0.5625338785865208
41,../results/GeneratedSparseBatchSizeFixed/1000_cells_1000_features/0.9/1000_GPU_kendall.csv,kendall,GPU,1000,1000,1000_1000,1000000,3.0,3.0,5.204709611981972,5.221396630952389,5.18735571399265,5.221396630952389,153941.5,166493.25,166493.25,160217.375,6275.875,kendall_GPU,0.9,1000,1.0,153941.5,6.0,1000_1000_0.9_1000,1000_1000_0.9_500,152553.0,0.9521626477777457
42,../results/GeneratedSparseBatchSizeFixed/1000_cells_1000_features/0.9/500_GPU_kendall.csv,kendall,GPU,1000,1000,1000_1000,1000000,3.0,3.0,5.183420752592223,5.204971450346999,5.1607445670280105,5.204971450346999,144792.0,160314.0,160314.0,152553.0,7761.0,kendall_GPU,0.9,500,2.0,144792.0,6.0,1000_1000_0.9_500,1000_1000_0.9_500,152553.0,1.0
43,../results/GeneratedSparseBatchSizeFixed/1000_cells_1000_features/0.95/100_GPU_kendall.csv,kendall,GPU,1000,1000,1000_1000,1000000,3.0,3.0,5.18799142136947,5.206344108511846,5.168828823371863,5.206344108511846,147512.5,160821.5,160821.5,154167.0,6654.5,kendall_GPU,0.95,100,10.0,147512.5,6.0,1000_1000_0.95_100,1000_1000_0.95_500,56399.25,0.36583218198447137
44,../results/GeneratedSparseBatchSizeFixed/1000_cells_1000_features/0.95/1000_GPU_kendall.csv,kendall,GPU,1000,1000,1000_1000,1000000,3.0,3.0,4.755218155698397,4.787487041475913,4.720357792660739,4.787487041475913,52524.0,61303.75,61303.75,56913.875,4389.875,kendall_GPU,0.95,1000,1.0,52524.0,6.0,1000_1000_0.95_1000,1000_1000_0.95_500,56399.25,0.9909578288246934
45,../results/GeneratedSparseBatchSizeFixed/1000_cells_1000_features/0.95/500_GPU_kendall.csv,kendall,GPU,1000,1000,1000_1000,1000000,3.0,3.0,4.751273328752364,4.784902449886655,4.71481995070668,4.784902449886655,51858.5,60940.0,60940.0,56399.25,4540.75,kendall_GPU,0.95,500,2.0,51858.5,6.0,1000_1000_0.95_500,1000_1000_0.95_500,56399.25,1.0
46,../results/GeneratedSparseBatchSizeFixed/1000_cells_1000_features/0.75/100_GPU_kendall.csv,kendall,GPU,1000,1000,1000_1000,1000000,3.0,3.0,5.969504789173816,5.980570085667044,5.9581501748228245,5.980570085667044,908134.5,956247.0,956247.0,932190.75,24056.25,kendall_GPU,0.75,100,10.0,908134.5,6.0,1000_1000_0.75_100,1000_1000_0.75_500,855018.75,0.9172143684111862
47,../results/GeneratedSparseBatchSizeFixed/1000_cells_1000_features/0.75/1000_GPU_kendall.csv,kendall,GPU,1000,1000,1000_1000,1000000,3.0,3.0,6.024699837408456,6.047300184261788,6.000858511096495,6.047300184261788,1001978.75,1115065.0,1115065.0,1058521.875,56543.125,kendall_GPU,0.75,1000,1.0,1001978.75,6.0,1000_1000_0.75_1000,1000_1000_0.75_500,855018.75,0.8077478323251468
48,../results/GeneratedSparseBatchSizeFixed/1000_cells_1000_features/0.75/500_GPU_kendall.csv,kendall,GPU,1000,1000,1000_1000,1000000,3.0,3.0,5.9319756386255404,5.927553847060088,5.927553847060088,5.936352862876422,846357.5,863680.0,846357.5,855018.75,8661.25,kendall_GPU,0.75,500,2.0,863680.0,6.0,1000_1000_0.75_500,1000_1000_0.75_500,855018.75,1.0
49,../results/GeneratedSparseBatchSizeFixed/1000_cells_1000_features/0.99/100_GPU_kendall.csv,kendall,GPU,1000,1000,1000_1000,1000000,3.0,3.0,5.014524738877671,5.039840272188249,4.987641689954749,5.039840272188249,97194.5,109607.5,109607.5,103401.0,6206.5,kendall_GPU,0.99,100,10.0,97194.5,6.0,1000_1000_0.99_100,1000_1000_0.99_500,19943.5,0.1928753106836491
50,../results/GeneratedSparseBatchSizeFixed/1000_cells_1000_features/0.99/1000_GPU_kendall.csv,kendall,GPU,1000,1000,1000_1000,1000000,3.0,3.0,4.307859580598467,4.383002546927803,4.216937442295965,4.383002546927803,16479.25,24154.75,24154.75,20317.0,3837.75,kendall_GPU,0.99,1000,1.0,16479.25,6.0,1000_1000_0.99_1000,1000_1000_0.99_500,19943.5,0.9816163803711178
51,../results/GeneratedSparseBatchSizeFixed/1000_cells_1000_features/0.99/500_GPU_kendall.csv,kendall,GPU,1000,1000,1000_1000,1000000,3.0,3.0,4.299801377511212,4.372470122841869,4.212480587721373,4.372470122841869,16311.0,23576.0,23576.0,19943.5,3632.5,kendall_GPU,0.99,500,2.0,16311.0,6.0,1000_1000_0.99_500,1000_1000_0.99_500,19943.5,1.0
52,../results/GeneratedSparseBatchSizeFixed/1000_cells_1000_features/0.5/100_GPU_kendall.csv,kendall,GPU,1000,1000,1000_1000,1000000,3.0,3.0,6.4389970124244815,6.440301864978583,6.437688227578794,6.440301864978583,2739606.75,2756143.75,2756143.75,2747875.25,8268.5,kendall_GPU,0.5,100,10.0,2739606.75,6.0,1000_1000_0.5_100,1000_1000_0.5_500,2716341.125,0.9885241788177975
53,../results/GeneratedSparseBatchSizeFixed/1000_cells_1000_features/0.5/1000_GPU_kendall.csv,kendall,GPU,1000,1000,1000_1000,1000000,3.0,3.0,6.65290541934597,6.658497581961832,6.647240309314736,6.658497581961832,4438541.75,4555096.5,4555096.5,4496819.125,58277.375,kendall_GPU,0.5,1000,1.0,4438541.75,6.0,1000_1000_0.5_1000,1000_1000_0.5_500,2716341.125,0.6040583464650694
54,../results/GeneratedSparseBatchSizeFixed/1000_cells_1000_features/0.5/500_GPU_kendall.csv,kendall,GPU,1000,1000,1000_1000,1000000,3.0,3.0,6.433984308834644,6.435437063773283,6.432526677982336,6.435437063773283,2707239.5,2725442.75,2725442.75,2716341.125,9101.625,kendall_GPU,0.5,500,2.0,2707239.5,6.0,1000_1000_0.5_500,1000_1000_0.5_500,2716341.125,1.0
55,../results/GeneratedSparseBatchSizeFixed/100_cells_1000_features/0.9/100_GPU_kendall.csv,kendall,GPU,100,1000,100_1000,100000,2.0,3.0,3.945560899827013,4.091297562319562,3.724623985053917,4.091297562319562,5304.25,12339.5,12339.5,8821.875,3517.625,kendall_GPU,0.9,100,1.0,5304.25,5.0,100_1000_0.9_100,100_1000_0.9_500,8821.875,1.0
56,../results/GeneratedSparseBatchSizeFixed/100_cells_1000_features/0.95/100_GPU_kendall.csv,kendall,GPU,100,1000,100_1000,100000,2.0,3.0,3.85816861271473,4.027125266305966,3.5778650407463743,4.027125266305966,3783.25,10644.5,10644.5,7213.875,3430.625,kendall_GPU,0.95,100,1.0,3783.25,5.0,100_1000_0.95_100,100_1000_0.95_500,7213.875,1.0
57,../results/GeneratedSparseBatchSizeFixed/100_cells_1000_features/0.75/100_GPU_kendall.csv,kendall,GPU,100,1000,100_1000,100000,2.0,3.0,4.268651089124948,4.334609546454821,4.190849740555827,4.334609546454821,15518.5,21607.75,21607.75,18563.125,3044.625,kendall_GPU,0.75,100,1.0,15518.5,5.0,100_1000_0.75_100,100_1000_0.75_500,18563.125,1.0
58,../results/GeneratedSparseBatchSizeFixed/100_cells_1000_features/0.99/100_GPU_kendall.csv,kendall,GPU,100,1000,100_1000,100000,2.0,3.0,3.86060748504061,4.050108962917868,3.516667559099043,4.050108962917868,3286.0,11223.0,11223.0,7254.5,3968.5,kendall_GPU,0.99,100,1.0,3286.0,5.0,100_1000_0.99_100,100_1000_0.99_500,7254.5,1.0
