DataFile,method,metric,acceleration
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,pearson,1.806057539
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,pearson,208.1551086
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,GPU,pearson,1
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,GPU,pearson,8.949592631
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,GPU,pearson,529.4179523
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,amap,euclidean,0.18612449
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,amap,euclidean,31.30574124
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,factoextra,euclidean,167.6521923
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,factoextra,euclidean,2372.559687
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,euclidean,0.179547874
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,euclidean,18.12138407
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,euclidean,0.179547874
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,CPU,euclidean,18.12138407
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,GPU,euclidean,0.218727231
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,GPU,euclidean,1
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,GPU,euclidean,24.60393466
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,amap,pearson,0.092518375
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,amap,pearson,14.20026327
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,factoextra,pearson,27.00744925
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,factoextra,pearson,224.9325115
../../DistanceBenchmarking/Real/FibroCardRNASeq/snRNA_Heart_counts_matrix.mtx,factoextra,pearson,2064.730267
